ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Debt_Income_Ratio,Total_Income,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Income_bin_Low,Income_bin_Medium
5849,0.0,128.0,360.0,1.0,1,0.02188034188034188,5849.0,1,0,0,0,0,0,0,0,1,0,1
4583,1508.0,128.0,360.0,1.0,0,0.021011162179908074,6091.0,1,1,1,0,0,0,0,0,0,0,1
3000,0.0,66.0,360.0,1.0,1,0.021992669110296566,3000.0,1,1,0,0,0,0,1,0,1,0,1
2583,2358.0,120.0,360.0,1.0,1,0.024281667341157425,4941.0,1,1,0,0,0,1,0,0,1,0,1
6000,0.0,141.0,360.0,1.0,1,0.023496083986002333,6000.0,1,0,0,0,0,0,0,0,1,0,1
5417,4196.0,267.0,360.0,1.0,1,0.027771999167880174,9613.0,1,1,0,1,0,0,1,0,1,0,1
2333,1516.0,95.0,360.0,1.0,1,0.024675324675324677,3849.0,1,1,0,0,0,1,0,0,1,1,0
3036,2504.0,158.0,360.0,0.0,0,0.02851470853636528,5540.0,1,1,0,0,1,0,0,1,0,0,1
4006,1526.0,168.0,360.0,1.0,1,0.030363274896078075,5532.0,1,1,0,1,0,0,0,0,1,0,1
12841,10968.0,349.0,360.0,1.0,0,0.014657706845863082,23809.0,1,1,1,0,0,0,0,1,0,0,0
3200,700.0,70.0,360.0,1.0,1,0.017944116893104333,3900.0,1,1,0,1,0,0,0,0,1,0,1
2500,1840.0,109.0,360.0,1.0,1,0.025109421792213777,4340.0,1,1,0,1,0,0,0,0,1,1,0
3073,8106.0,200.0,360.0,1.0,1,0.017889087656529516,11179.0,1,1,0,1,0,0,0,0,1,0,1
1853,2840.0,114.0,360.0,1.0,0,0.024286322965487855,4693.0,1,0,0,0,0,0,0,0,0,1,0
1299,1086.0,17.0,120.0,1.0,1,0.007124895222129086,2385.0,1,1,0,1,0,0,0,0,1,1,0
4950,0.0,125.0,360.0,1.0,1,0.025247424762674206,4950.0,1,0,0,0,0,0,0,0,1,0,1
3596,0.0,100.0,240.0,1.0,1,0.027800945232137893,3596.0,1,0,1,0,0,1,0,0,1,0,1
3510,0.0,76.0,360.0,0.0,0,0.02164625462831102,3510.0,0,0,0,0,0,0,0,0,1,0,1
4887,0.0,133.0,360.0,1.0,0,0.02720949263502455,4887.0,1,1,0,0,0,1,0,0,0,0,1
2600,3500.0,115.0,360.0,1.0,1,0.018849368955908868,6100.0,1,1,0,0,0,0,0,0,1,0,1
7660,0.0,104.0,360.0,0.0,0,0.013575251272679808,7660.0,1,1,0,0,0,1,0,0,1,0,0
5955,5625.0,315.0,360.0,1.0,1,0.027199723685346688,11580.0,1,1,1,0,0,0,0,0,1,0,1
2600,1911.0,116.0,360.0,0.0,0,0.025709219858156027,4511.0,1,1,0,0,0,1,0,1,0,0,1
3365,1917.0,112.0,360.0,0.0,0,0.021200075714556125,5282.0,1,1,0,1,0,1,0,0,0,0,1
3717,2925.0,151.0,360.0,1.0,0,0.022730693963570674,6642.0,1,1,1,0,0,0,0,1,0,0,1
9560,0.0,191.0,360.0,1.0,1,0.019976989854617717,9560.0,1,1,0,0,0,0,1,1,0,0,0
2799,2253.0,122.0,360.0,1.0,1,0.02414407282802296,5052.0,1,1,0,0,0,0,0,1,0,0,1
4226,1040.0,110.0,360.0,1.0,1,0.020884754129485476,5266.0,1,1,0,1,0,1,0,0,1,0,1
1442,0.0,35.0,360.0,1.0,0,0.024255024255024255,1442.0,1,0,0,0,0,1,0,0,1,1,0
3750,2083.0,120.0,360.0,1.0,1,0.02056907781967775,5833.0,0,0,0,1,0,0,0,1,0,0,1
4166,3369.0,201.0,360.0,1.0,0,0.026671974522292995,7535.0,1,1,1,0,0,0,0,0,1,0,1
3167,0.0,74.0,360.0,1.0,0,0.02335858585858586,3167.0,1,0,0,0,0,0,0,0,1,0,1
4692,0.0,106.0,360.0,1.0,0,0.02258683145109738,4692.0,1,0,1,0,0,0,1,0,0,0,1
3500,1667.0,114.0,360.0,1.0,1,0.022058823529411766,5167.0,1,1,0,0,0,0,0,1,0,0,1
12500,3000.0,320.0,360.0,1.0,0,0.02064382943035933,15500.0,1,0,0,0,1,0,0,0,0,0,0
2275,2067.0,128.0,360.0,1.0,1,0.029472714713331797,4342.0,1,1,0,0,0,0,0,0,1,1,0
1828,1330.0,100.0,360.0,0.0,0,0.03165558721114277,3158.0,1,1,0,0,0,0,0,0,1,1,0
3667,1459.0,144.0,360.0,1.0,1,0.028086600351082503,5126.0,0,1,0,0,0,0,0,1,0,0,1
4166,7210.0,184.0,360.0,1.0,1,0.016172980574843985,11376.0,1,0,0,0,0,0,0,0,1,0,1
3748,1668.0,110.0,360.0,1.0,1,0.020306442680450433,5416.0,1,0,0,0,0,1,0,1,0,0,1
3600,0.0,80.0,360.0,1.0,0,0.022216051096917523,3600.0,1,0,0,0,0,0,0,0,1,0,1
1800,1213.0,47.0,360.0,1.0,1,0.015593895155938951,3013.0,1,0,0,0,0,0,0,0,1,1,0
2400,0.0,75.0,360.0,1.0,1,0.03123698458975427,2400.0,1,1,0,0,0,0,0,0,1,1,0
3941,2336.0,134.0,360.0,1.0,1,0.021344377190187957,6277.0,1,1,0,0,0,0,0,1,0,0,1
4695,0.0,96.0,360.0,1.0,1,0.020442930153321975,4695.0,1,1,0,0,0,1,1,0,1,0,1
3410,0.0,88.0,360.0,1.0,1,0.0257988859571973,3410.0,0,0,0,0,0,0,0,0,1,0,1
5649,0.0,44.0,360.0,1.0,1,0.007787610619469027,5649.0,1,1,1,0,0,0,0,0,1,0,1
5821,0.0,144.0,360.0,1.0,1,0.024733768464445208,5821.0,1,1,0,0,0,0,0,0,1,0,1
2645,3440.0,120.0,360.0,0.0,0,0.019717384160368057,6085.0,0,1,0,0,0,0,0,0,1,0,1
4000,2275.0,144.0,360.0,1.0,1,0.022944550669216062,6275.0,0,0,0,0,0,0,0,1,0,0,1
1928,1644.0,100.0,360.0,1.0,1,0.027987685418415897,3572.0,0,1,0,0,0,1,0,1,0,1,0
3086,0.0,120.0,360.0,1.0,1,0.038872691933916424,3086.0,0,0,0,0,0,0,0,1,0,0,1
4230,0.0,112.0,360.0,1.0,0,0.02647128338454266,4230.0,0,0,0,0,0,0,0,1,0,0,1
4616,0.0,134.0,360.0,1.0,0,0.02902317522200563,4616.0,1,1,0,1,0,0,0,0,1,0,1
11500,0.0,286.0,360.0,0.0,0,0.024867402834536128,11500.0,0,1,1,0,0,0,1,0,1,0,0
2708,1167.0,97.0,360.0,1.0,1,0.02502579979360165,3875.0,1,1,0,1,0,0,0,1,0,0,1
2132,1591.0,96.0,360.0,1.0,1,0.02577873254564984,3723.0,1,1,0,0,0,0,0,1,0,1,0
3366,2200.0,135.0,360.0,1.0,0,0.02425004490749057,5566.0,1,1,0,0,0,0,0,0,0,0,1
8080,2250.0,180.0,360.0,1.0,1,0.017423289129803503,10330.0,1,1,1,0,0,0,0,0,1,0,0
3357,2859.0,144.0,360.0,1.0,1,0.023162296927778672,6216.0,1,1,0,1,0,1,0,0,1,0,1
2500,3796.0,120.0,360.0,1.0,1,0.019056693663649357,6296.0,1,1,0,0,0,0,0,0,1,1,0
3029,0.0,99.0,360.0,1.0,1,0.032673267326732675,3029.0,1,1,0,0,1,0,0,0,1,0,1
2609,3449.0,165.0,180.0,0.0,0,0.027232216537382406,6058.0,1,1,0,0,0,1,1,0,0,0,1
4945,0.0,128.0,360.0,0.0,0,0.02587949858471492,4945.0,1,1,1,0,0,0,0,0,0,0,1
4166,0.0,116.0,360.0,0.0,0,0.027837772978161746,4166.0,0,0,0,0,0,0,0,1,0,0,1
5726,4595.0,258.0,360.0,1.0,0,0.024995155977523737,10321.0,1,1,0,0,0,0,0,1,0,0,1
3200,2254.0,126.0,180.0,0.0,0,0.0230980751604033,5454.0,1,0,0,0,0,1,0,0,1,0,1
10750,0.0,312.0,360.0,1.0,1,0.02902055622732769,10750.0,1,1,1,0,0,0,0,0,1,0,0
7100,0.0,125.0,60.0,1.0,1,0.017603154485283764,7100.0,1,1,0,0,1,1,1,0,1,0,0
4300,0.0,136.0,360.0,0.0,0,0.03162055335968379,4300.0,0,0,0,0,0,0,0,1,0,0,1
3208,3066.0,172.0,360.0,1.0,1,0.02741035856573705,6274.0,1,1,0,0,0,0,0,0,1,0,1
1875,1875.0,97.0,360.0,1.0,1,0.025859770727805917,3750.0,1,1,0,1,0,1,1,1,0,1,0
3500,0.0,81.0,300.0,1.0,1,0.02313624678663239,3500.0,1,0,0,0,0,0,0,1,0,0,1
4755,0.0,95.0,360.0,0.0,0,0.019974768713204374,4755.0,1,1,0,0,1,1,0,1,0,0,1
5266,1774.0,187.0,360.0,1.0,1,0.02655872745348672,7040.0,1,1,0,0,1,0,1,1,0,0,1
3750,0.0,113.0,480.0,1.0,0,0.030125299920021328,3750.0,1,0,0,0,0,0,0,0,1,0,1
3750,4750.0,176.0,360.0,1.0,0,0.0207034466533349,8500.0,1,0,0,0,0,0,0,0,1,0,1
1000,3022.0,110.0,360.0,1.0,0,0.02734277902063137,4022.0,1,1,1,0,0,0,1,0,1,1,0
3167,4000.0,180.0,300.0,0.0,0,0.025111607142857144,7167.0,1,1,0,0,1,0,0,1,0,0,1
3333,2166.0,130.0,360.0,1.0,1,0.023636363636363636,5499.0,1,1,0,0,1,1,1,1,0,0,1
3846,0.0,111.0,360.0,1.0,1,0.028853652196516765,3846.0,0,0,0,0,0,0,0,1,0,0,1
2395,0.0,128.0,360.0,1.0,1,0.05342237061769616,2395.0,1,1,1,0,0,0,1,1,0,1,0
1378,1881.0,167.0,360.0,1.0,0,0.05122699386503068,3259.0,0,1,0,1,0,0,0,0,1,1,0
6000,2250.0,265.0,360.0,1.0,0,0.03211731911283481,8250.0,1,1,0,0,0,0,0,1,0,0,1
3988,0.0,50.0,240.0,1.0,1,0.012534469791927802,3988.0,1,1,1,0,0,0,0,0,1,0,1
2366,2531.0,136.0,360.0,1.0,1,0.027766435279706004,4897.0,1,0,0,0,0,0,0,1,0,1,0
3333,2000.0,99.0,360.0,1.0,1,0.01856017997750281,5333.0,1,1,0,1,0,1,0,1,0,0,1
2500,2118.0,104.0,360.0,1.0,1,0.022515696038103484,4618.0,1,1,0,0,0,0,0,1,0,1,0
8566,0.0,210.0,360.0,1.0,1,0.02451266487685304,8566.0,1,0,0,0,0,0,0,0,1,0,0
5695,4167.0,175.0,360.0,1.0,1,0.017743080198722498,9862.0,1,1,0,0,0,0,0,1,0,0,1
2958,2900.0,131.0,360.0,1.0,1,0.022358764294248164,5858.0,1,1,0,0,0,0,0,1,0,0,1
6250,5654.0,188.0,180.0,1.0,1,0.015791684166316673,11904.0,1,1,0,1,0,0,0,1,0,0,0
3273,1820.0,81.0,360.0,1.0,1,0.015901060070671377,5093.0,1,1,0,1,0,1,0,0,1,0,1
4133,0.0,122.0,360.0,1.0,1,0.029511369134010642,4133.0,1,0,0,0,0,0,0,1,0,0,1
